'Elapsedtime','CO2','Rhum','Temp','TVOC'
'seconds','ppm','%','degC','ppb'
20190927030929,486.00,59.00,30.00,40.00
20190927031129,487.00,59.00,29.90,40.00
20190927031229,493.00,59.00,29.90,40.00
20190927031329,485.00,59.00,29.90,39.00
20190927031429,486.00,59.00,29.80,39.00
20190927031529,477.00,59.00,29.80,40.00
20190927031629,479.00,59.00,29.80,40.00
20190927031729,477.00,59.00,29.90,39.00
20190927031829,475.00,59.00,29.80,39.00
20190927031929,478.00,59.00,29.80,39.00
20190927032029,480.00,59.00,29.80,40.00
20190927032129,474.00,59.00,29.90,39.00
20190927032229,479.00,59.00,29.80,39.00
20190927032329,481.00,59.00,29.80,40.00
20190927032429,490.00,59.00,29.80,39.00
20190927032529,488.00,59.00,29.90,39.00
20190927032629,491.00,59.00,29.90,39.00
20190927032730,491.00,59.00,29.90,38.00
20190927032830,486.00,59.00,29.80,38.00
20190927032930,488.00,59.00,29.80,40.00
20190927033030,484.00,59.00,29.90,38.00
20190927033130,476.00,59.00,29.90,38.00
20190927033230,480.00,59.00,29.90,38.00
20190927033330,474.00,59.00,29.90,38.00
20190927033430,480.00,59.00,30.00,38.00
20190927033530,482.00,59.00,29.90,39.00
20190927033630,479.00,59.00,30.00,37.00
20190927033730,482.00,59.00,29.90,38.00
20190927033830,484.00,59.00,29.90,37.00
20190927033930,487.00,59.00,29.90,36.00
20190927034030,485.00,59.00,29.90,36.00
20190927034130,490.00,59.00,29.80,36.00
20190927034230,484.00,59.00,29.90,37.00
20190927034330,479.00,59.00,29.80,37.00
20190927034431,482.00,59.00,29.90,36.00
20190927034531,485.00,59.00,29.90,36.00
20190927034631,480.00,59.00,29.90,35.00
20190927034731,481.00,59.00,29.80,35.00
20190927034831,481.00,59.00,29.90,35.00
20190927034931,481.00,59.00,29.90,35.00
20190927035031,483.00,59.00,29.90,35.00
20190927035131,486.00,59.00,29.90,35.00
20190927035231,484.00,59.00,29.90,36.00
20190927035331,482.00,59.00,29.90,35.00
20190927035431,481.00,59.00,29.90,34.00
20190927035531,478.00,59.00,29.90,34.00
20190927035631,476.00,59.00,29.90,34.00
20190927035731,486.00,59.00,29.90,35.00
20190927035831,489.00,59.00,29.90,33.00
20190927035931,486.00,59.00,29.90,33.00
20190927040031,490.00,59.00,29.90,34.00
20190927040132,482.00,59.00,29.90,32.00
20190927040232,481.00,59.00,29.90,33.00
20190927040332,478.00,59.00,29.90,33.00
20190927040432,483.00,59.00,29.80,33.00
20190927040532,485.00,59.00,29.90,33.00
20190927040632,490.00,59.00,29.90,33.00
20190927040732,485.00,59.00,30.00,33.00
20190927040832,472.00,59.00,29.90,33.00
20190927040932,472.00,59.00,29.90,33.00
20190927041032,473.00,59.00,29.90,33.00
20190927041132,476.00,59.00,30.00,32.00
20190927041232,471.00,59.00,29.90,32.00
20190927041332,475.00,59.00,29.90,31.00
20190927041432,472.00,59.00,29.90,31.00
20190927041532,483.00,59.00,29.80,32.00
20190927041632,486.00,59.00,29.90,32.00
20190927041732,475.00,59.00,29.90,32.00
20190927041832,476.00,59.00,29.90,32.00
20190927041933,479.00,59.00,29.90,31.00
20190927042033,478.00,59.00,29.90,30.00
20190927042133,479.00,59.00,29.80,30.00
20190927042233,485.00,59.00,29.80,31.00
20190927042333,483.00,60.00,29.80,31.00
20190927042433,476.00,59.00,29.80,30.00
20190927042533,486.00,59.00,29.80,31.00
20190927042633,478.00,59.00,29.80,31.00
20190927042733,478.00,59.00,29.80,30.00
20190927042833,475.00,59.00,29.80,31.00
20190927042933,476.00,59.00,29.80,30.00
20190927043033,477.00,59.00,29.90,30.00
20190927043133,482.00,59.00,29.80,32.00
20190927043233,487.00,59.00,29.90,30.00
20190927043333,481.00,59.00,29.90,30.00
20190927043433,482.00,59.00,29.90,30.00
20190927043533,481.00,59.00,29.90,32.00
20190927043634,476.00,59.00,29.90,30.00
20190927043734,478.00,59.00,29.90,29.00
20190927043834,475.00,59.00,29.90,30.00
20190927043934,474.00,59.00,29.90,30.00
20190927044034,473.00,59.00,29.90,29.00
20190927044134,481.00,59.00,29.90,30.00
20190927044234,470.00,59.00,29.80,29.00
20190927044334,478.00,59.00,29.80,29.00
20190927044434,479.00,59.00,29.80,30.00
20190927044534,483.00,59.00,29.80,28.00
20190927044634,481.00,59.00,29.90,28.00
20190927044734,475.00,59.00,29.80,28.00
20190927044834,471.00,59.00,29.80,28.00
20190927044934,473.00,59.00,29.80,28.00
20190927045034,464.00,59.00,29.80,30.00
20190927045134,465.00,59.00,29.90,29.00
20190927045234,474.00,59.00,29.80,29.00
20190927045335,476.00,59.00,29.90,28.00
20190927045435,475.00,59.00,29.80,28.00
20190927045535,475.00,59.00,29.80,28.00
20190927045635,478.00,59.00,29.80,28.00
20190927045735,476.00,59.00,29.80,29.00
20190927045835,480.00,59.00,29.80,28.00
20190927045935,469.00,59.00,29.80,28.00
20190927050035,477.00,59.00,29.80,29.00
20190927050135,479.00,59.00,29.80,28.00
20190927050235,469.00,59.00,29.80,28.00
20190927050335,472.00,59.00,29.80,28.00
20190927050435,475.00,59.00,29.80,27.00
20190927050535,474.00,59.00,29.80,28.00
20190927050635,480.00,59.00,29.80,28.00
20190927050735,477.00,59.00,29.80,27.00
20190927050835,467.00,59.00,29.80,28.00
20190927050935,473.00,59.00,29.80,28.00
20190927051036,476.00,59.00,29.80,26.00
20190927051136,477.00,59.00,29.80,28.00
20190927051236,475.00,59.00,29.70,28.00
20190927051336,465.00,59.00,29.80,28.00
20190927051436,474.00,59.00,29.80,28.00
20190927051536,474.00,59.00,29.80,28.00
20190927051636,470.00,59.00,29.80,29.00
20190927051736,465.00,59.00,29.80,27.00
20190927051836,474.00,59.00,29.80,27.00
20190927051936,475.00,59.00,29.80,26.00
20190927052036,469.00,59.00,29.80,27.00
20190927052136,470.00,59.00,29.80,28.00
20190927052236,474.00,59.00,29.80,26.00
20190927052336,479.00,59.00,29.80,27.00
20190927052436,474.00,59.00,29.80,26.00
20190927052536,473.00,59.00,29.70,28.00
20190927052636,468.00,59.00,29.80,27.00
20190927052737,462.00,59.00,29.80,28.00
20190927052837,466.00,59.00,29.80,26.00
20190927052937,471.00,59.00,29.70,26.00
20190927053037,478.00,59.00,29.80,26.00
20190927053137,473.00,59.00,29.90,26.00
20190927053237,473.00,59.00,29.70,28.00
20190927053337,462.00,59.00,29.80,28.00
20190927053437,455.00,59.00,29.90,26.00
20190927053537,460.00,59.00,29.80,26.00
20190927053637,466.00,59.00,29.80,27.00
20190927053737,467.00,59.00,29.90,27.00
20190927053837,471.00,59.00,29.80,26.00
20190927053937,473.00,59.00,29.90,25.00
20190927054037,465.00,59.00,29.90,25.00
20190927054137,465.00,59.00,29.80,26.00
20190927054237,472.00,59.00,29.80,26.00
20190927054337,477.00,59.00,29.80,25.00
20190927054438,475.00,59.00,29.80,25.00
